[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/template/backends/base.py first seen with mtime 1604303043.7268288
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/format_helpers.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/take2/__init__.py first seen with mtime 1604300742.611388
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/template/engine.py first seen with mtime 1604303043.7227037
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/utils/dateparse.py first seen with mtime 1604303043.746733
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_opcode.cpython-39-darwin.so first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/json/scanner.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/wsgiref/__init__.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/sqlparse/formatter.py first seen with mtime 1604303041.3304505
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/cgi.py first seen with mtime 1604300282.750928
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/dispatch/__init__.py first seen with mtime 1604303043.6815805
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/db/models/functions/__init__.py first seen with mtime 1604303043.674238
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sqlite3/__init__.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/core/checks/database.py first seen with mtime 1604303043.5838802
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/core/checks/translation.py first seen with mtime 1604303043.5864758
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_datetime.cpython-39-darwin.so first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/utils/__init__.py first seen with mtime 1604303043.7419672
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/db/models/indexes.py first seen with mtime 1604303043.6647406
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/iterators.py first seen with mtime 1601911788.0
